Language,Model,token_precision,token_recall,token_fscore,type_precision,type_recall,type_fscore,boundary_noedge_precision,boundary_noedge_recall,boundary_noedge_fscore,oversegmentation,undersegmentation
Icelandic,PHOCUS-1S,67.32137958849144,69.11007351607448,68.18733851085607,54.2693218646876,51.747993278108275,52.97541463486507,81.06280846879132,84.04070068465755,82.48718053240472,4.933198519619835,15.959299315342449
Indonesian,DYMULTI-23,40.01153463849048,56.91620698970941,46.98943863152149,54.84563882047394,49.21782491283268,51.87706659099035,56.26881248702566,95.63525571032699,70.85038129167758,15.374692053742304,4.364744289673011
Indonesian,MULTICUE-23,30.106289705271752,47.63853854904475,36.892877199135185,40.90645815162745,41.607935659147635,41.25062002094725,47.44390656402004,93.2424948541314,62.88124947280333,21.383960533596298,6.7575051458686115
Indonesian,PHOCUS-1S,59.90517227377582,69.04119378839792,64.14011356330623,58.82683099304374,49.11432687156345,53.5286526420281,70.28824398988192,88.08283901186522,78.15955906648638,7.726857868863627,11.917160988134777
Irish,DYMULTI-23,67.76216877812313,68.30865163002628,68.0335771095057,51.05744718662345,61.18748813713994,55.6637702852165,83.6639446731771,84.5083017661708,84.08258938838428,6.199755013758071,15.4916982338292
Irish,MULTICUE-23,53.90323122074432,64.3561097785082,58.6673270197207,41.432274240184896,51.88075080154702,46.070278849436036,72.22610549311358,89.73917899555882,80.03504932038881,12.963138485019353,10.260821004441192
Irish,PHOCUS-1S,63.32809244010601,56.19194934223975,59.527302160934184,50.83685856921923,53.491020661435186,52.1265240410244,85.35163881414336,73.20454079123257,78.77276730480023,4.719929667377851,26.795459208767433
Italian,DYMULTI-23,37.223857068782955,53.35645784499245,43.853203812622674,42.86774315333761,37.21823336916165,39.84034760344603,57.7670617858639,91.9746545400737,70.96272224461343,16.88622838479784,8.025345459926301
Italian,MULTICUE-23,19.776714085877774,35.88450319301391,25.496613446568777,25.6596958638717,16.02489262717409,19.70363773779486,43.523686144318006,92.08099897074857,59.099212257152885,30.044474881455642,7.919001029251433
Italian,PHOCUS-1S,52.28097939339043,59.067607131477885,55.45187716735271,41.14743254995957,36.348105887141045,38.586680187102615,69.78591332184126,82.24493264662752,75.4677732730068,8.991395777591839,17.75506735337249
