Fid	Value	Feature	Reference	Area
79A	Tense	Suppletion According to Tense and Aspect	Lide and Magnusson 1970: 24, 44	Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	Lide and Magnusson 1970	Verbal Categories	
81A	No dominant order	Order of Subject, Object and Verb	Lederer 1969: 575ff., own knowledge	Word Order	
81B	SOV or SVO	Languages with two Dominant Orders of Subject, Object, and Verb	Lederer 1969: 575ff, own knowledge	Word Order	
82A	SV	Order of Subject and Verb	Lederer 1969: 575ff., own knowledge	Word Order	
83A	No dominant order	Order of Object and Verb	Lederer 1969: 575ff., own knowledge	Word Order	
84A	No dominant order	Order of Object, Oblique, and Verb	Lederer 1969: own knowledge	Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase	Lederer 1969: 356-357	Word Order	
86A	Noun-Genitive	Order of Genitive and Noun	Lederer 1969: 605, 608	Word Order	
87A	Adjective-Noun	Order of Adjective and Noun	Lederer 1969: 604	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun	Lederer 1969: 604	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Lederer 1969: 604	Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun	Lederer 1969: 604, 612-613	Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses	Lederer 1969: 604, 612-613	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Lederer 1969: 618	Word Order	
92A	No question particle	Position of Polar Question Particles	Lederer 1969: 479	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Lederer 1969: 209, 474	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Lederer 1969: 412	Word Order	
95A	Other	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	Other	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	Other	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Nominative - accusative (standard)	Alignment of Case Marking of Full Noun Phrases		Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns		Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Borgert and Nyhan 1975: 367	Simple Clauses	
101A	Obligatory pronouns in subject position	Expression of Pronominal Subjects	Lederer 1969: 46, 48	Simple Clauses	
102A	Only the A argument	Verbal Person Marking	Borgert and Nyhan 1975: 367, 370	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	Borgert and Nyhan 1975: 367, 370	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	Borgert and Nyhan 1975: 367, 370	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'		Simple Clauses	
106A	Mixed	Reciprocal Constructions	Wiemer and Nedjalkov 2007	Simple Clauses	
107A	Present	Passive Constructions	Borgert and Nyhan 1975: 378	Simple Clauses	
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Sequential but no purposive	Periphrastic Causative Constructions	Durrell 1992: 93-95 ; Harbert 1977: passim	Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions	Durrell 1992: 93-95 ; Harbert 1977: passim	Simple Clauses	
112A	Negative particle	Negative Morphemes	Lederer 1969: passim	Simple Clauses	
113A	Symmetric	Symmetric and Asymmetric Standard Negation		Simple Clauses	
