Fid	Value	Feature	Reference	Area
92A	Initial	Position of Polar Question Particles	Ó Dochartaigh 1992: 38, 73; Stenson 1981: 32, 40-41	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Ó Dochartaigh 1992: 38, 57; Stenson 1981: 40	Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause	Stenson 1981: 41	Word Order	
95A	VO and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	VO and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	VO and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Neutral	Alignment of Case Marking of Full Noun Phrases	Dillon and Ó Cróinin 1961: 37, 69	Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns	Dillon and Ó Cróinin 1961: 50, 169	Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Ó Siadhail 1989: 127, 182	Simple Clauses	
101A	Mixed	Expression of Pronominal Subjects	Ó Siadhail 1989: 179-184; Dillon and Ó Cróinin 1961: 32	Simple Clauses	
102A	Only the A argument	Verbal Person Marking	MacEoin 1993: 127	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	MacEoin 1993: 127	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	MacEoin 1993: 127	Simple Clauses	
107A	Present	Passive Constructions	MacEoin 1993: 126	Simple Clauses	
110A	Purposive but no sequential	Periphrastic Causative Constructions		Simple Clauses	
111A	Neither	Nonperiphrastic Causative Constructions		Simple Clauses	
112A	Negative particle	Negative Morphemes	Stenson 1981: 131, 137	Simple Clauses	
113A	Both	Symmetric and Asymmetric Standard Negation	Doyle 2001: 43-45, 96-98; Bammesberger 1982: 91, passim	Simple Clauses	
114A	A/Cat	Subtypes of Asymmetric Standard Negation	Doyle 2001: 43-45, 96-98; Bammesberger 1982: 91, passim	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Haspelmath 1997: 280	Simple Clauses	
116A	Question particle	Polar Questions	Ó Dochartaigh 1992: 38, 73; Stenson 1981: 32, 40-41	Simple Clauses	
117A	Locational	Predicative Possession	Lewis and Pedersen 1961 	Simple Clauses	
118A	Nonverbal encoding	Predicative Adjectives	Ó Siadhail 1989	Simple Clauses	
119A	Different	Nominal and Locational Predication	Ó Siadhail 1989	Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals	Ó Siadhail 1989	Simple Clauses	
121A	Particle	Comparative Constructions	Doyle 2001	Simple Clauses	
122A	Gap	Relativization on Subjects	Dillon and Ó Cróinin 1961	Complex Sentences	
123A	Pronoun-retention	Relativization on Obliques	Dillon and Ó Cróinin 1961	Complex Sentences	
125A	Balanced/deranked	Purpose Clauses	Ó Siadhail 1989: 269	Complex Sentences	
126A	Balanced/deranked	'When' Clauses	Ó Siadhail 1989: 269, 284, 322-3, 325	Complex Sentences	
127A	Balanced/deranked	Reason Clauses	Ó Siadhail 1989: 267-9, 284	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Ó Siadhail 1989: 253-4, 262	Complex Sentences	
129A	Different	Hand and Arm	Siochfhradha 1958	Lexicon	
130A	Different	Finger and Hand	Siochfhradha 1958	Lexicon	
131A	Hybrid vigesimal-decimal	Numeral Bases	Dillon and Ó Cróinin 1961: 137	Lexicon	
138A	Words derived from Min Nan Chinese te	Tea	Malherbe and Rosenberg 1996: 894	Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
143E	NegV	Preverbal Negative Morphemes	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
143F	None	Postverbal Negative Morphemes	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
143G	None	Minor morphological means of signaling negation	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144A	NegVSO	Position of Negative Word With Respect to Subject, Object, and Verb	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144T	NegVSO	The Position of Negative Morphemes in Verb-Initial Languages	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144V	Separate word, no double negation Word&NoDoubleNeg	Verb-Initial with Preverbal Negative	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144W	None	Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order	
144X	No clause-final neg	Verb-Initial with Clause-Final Negative	Ó Dochartaigh 1992: 57; Stenson 1981: 32, 41, passim	Word Order
