Fid	Value	Feature	Reference	Area
116A	Interrogative intonation only	Polar Questions	Maiden and Robustelli 2000: 147	Simple Clauses	
122A	Relative pronoun	Relativization on Subjects		Complex Sentences	
123A	Relative pronoun	Relativization on Obliques		Complex Sentences	
125A	Deranked	Purpose Clauses		Complex Sentences	
126A	Balanced/deranked	'When' Clauses		Complex Sentences	
127A	Balanced/deranked	Reason Clauses		Complex Sentences	
128A	Balanced/deranked	Utterance Complement Clauses		Complex Sentences	
129A	Different	Hand and Arm	Wessely n.d.	Lexicon	
130A	Different	Finger and Hand	Wessely n.d.	Lexicon	
138A	Words derived from Min Nan Chinese te	Tea	Malherbe and Rosenberg 1996: 987	Lexicon	
142A	Logical meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
143E	NegV	Preverbal Negative Morphemes	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
143F	None	Postverbal Negative Morphemes	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
143G	None	Minor morphological means of signaling negation	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144A	SNegVO	Position of Negative Word With Respect to Subject, Object, and Verb	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144D	SNegVO	The Position of Negative Morphemes in SVO Languages	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144H	No NegSVO	NegSVO Order	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144I	Word&NoDoubleNeg	SNegVO Order	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144J	No SVNegO	SVNegO Order	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order	
144K	No SVONeg	SVONeg Order	Maiden and Robustelli 2000: 401; Sauer 1891: 40	Word Order
