Fid	Value	Feature	Reference	Area
64A	Identity	Nominal and Verbal Conjunction	Saltarelli et al. 1988: 82, 90	Nominal Syntax	
65A	Grammatical marking	Perfective/Imperfective Aspect	Bybee et al. 1994: 84, 332-333, quoting N'Diaye 1970:204	Verbal Categories	
66A	Present, no remoteness distinctions	The Past Tense	Bybee et al. 1994: 142, 338, quoting N'Diaye 1970:203-4	Verbal Categories	
67A	Inflectional future exists	The Future Tense	Bybee et al. 1994: 252, 350, quoting N'Diaye 1970:211-12	Verbal Categories	
68A	Other perfect	The Perfect	Bybee et al. 1994: 64-65, 327, quoting N'Diaye 1970:202	Verbal Categories	
69A	Mixed type	Position of Tense-Aspect Affixes	Saltarelli et al. 1988: passim	Verbal Categories	
70A	Second singular and second plural	The Morphological Imperative	Saltarelli et al. 1988: 233-234; King 1993b: 380 	Verbal Categories	
71A	Normal imperative + normal negative	The Prohibitive	Saltarelli et al. 1988: 92	Verbal Categories	
72A	Neither type of system	Imperative-Hortative Systems	King 1993b: 362-381 	Verbal Categories	
73A	Inflectional optative absent	The Optative	Saltarelli et al. 1988	Verbal Categories	
74A	Affixes on verbs	Situational Possibility	Saltarelli et al. 1988: 235; King 1993b: 380 ; Eguzkitza 1987: 63-66	Verbal Categories	
75A	Affixes on verbs	Epistemic Possibility	Saltarelli et al. 1988: 236; King 1993b: 380 	Verbal Categories	
76A	Overlap for both possibility and necessity	Overlap between Situational and Epistemic Modal Marking	Saltarelli et al. 1988: 235; King 1993b: 380 	Verbal Categories	
77A	Indirect only	Semantic Distinctions of Evidentiality	Saltarelli et al. 1988	Verbal Categories	
78A	Separate particle	Coding of Evidentiality	Saltarelli et al. 1988	Verbal Categories	
79A	Tense	Suppletion According to Tense and Aspect	King 1993b: 363 	Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion	King 1993b 	Verbal Categories	
81A	SOV	Order of Subject, Object and Verb	Saltarelli et al. 1988: 66; Lafitte 1962: 46; Rebuschi 1984: 68; Urbina 1989: 81	Word Order	
82A	SV	Order of Subject and Verb	Saltarelli et al. 1988: 66; Lafitte 1962: 46; Rebuschi 1984: 68; Urbina 1989: 81	Word Order	
83A	OV	Order of Object and Verb	Saltarelli et al. 1988: 66; Lafitte 1962: 46; Rebuschi 1984: 68; Urbina 1989: 81	Word Order	
84A	XOV	Order of Object, Oblique, and Verb	Saltarelli et al. 1988: 67; Lafitte 1962: 46	Word Order	
85A	Postpositions	Order of Adposition and Noun Phrase	Saltarelli et al. 1988: 80, passim; Lafitte 1962: 45; Rebuschi 1984: 110; Arotcarena 1976: 61	Word Order	
86A	Genitive-Noun	Order of Genitive and Noun	Hualde and Ortiz de Urbina 2003: 144	Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Hualde and Ortiz de Urbina 2003: 138	Word Order	
88A	Noun-Demonstrative	Order of Demonstrative and Noun	Hualde and Ortiz de Urbina 2003: 113, 118	Word Order	
89A	Numeral-Noun	Order of Numeral and Noun	Hualde and Ortiz de Urbina 2003: 113, 118, 127	Word Order	
90A	Relative clause-Noun	Order of Relative Clause and Noun	Saltarelli et al. 1988: 75; Lafitte 1962: 50; Urbina 1989: 69	Word Order	
90B	Relative clause-Noun (RelN) dominant	Prenominal relative clauses	Saltarelli et al. 1988: 75; Lafitte 1962: 50; Urbina 1989: 69	Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective	Saltarelli et al. 1988: 71; Lafitte 1962: 45, 143; Urbina 1989: 77	Word Order	
92A	Other position	Position of Polar Question Particles	Saltarelli et al. 1988: 3	Word Order	
93A	Not initial interrogative phrase	Position of Interrogative Phrases in Content Questions	Urbina 1989: 213	Word Order	
94A	Final subordinator word	Order of Adverbial Subordinator and Clause	Lafitte 1962: 49; Ithurry 1895: passim	Word Order	
95A	OV and Postpositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	OV and RelN	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	OV and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Active-inactive	Alignment of Case Marking of Full Noun Phrases	Hualde and Ortiz de Urbina 2003: 364	Simple Clauses	
99A	Active - inactive	Alignment of Case Marking of Pronouns		Simple Clauses	
100A	Ergative	Alignment of Verbal Person Marking	Saltarelli et al. 1988: 238-241	Simple Clauses	
101A	Subject affixes on verb	Expression of Pronominal Subjects	Saltarelli et al. 1988: 205	Simple Clauses	
102A	Both the A and P arguments	Verbal Person Marking	Saltarelli et al. 1988: 240, 238	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	Saltarelli et al. 1988: 238	Simple Clauses	
104A	P precedes A	Order of Person Markers on the Verb	Saltarelli et al. 1988: 240, 238	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'	Saltarelli et al. 1988: 148-9	Simple Clauses	
106A	Distinct from reflexive	Reciprocal Constructions	Everaert 2000: 71	Simple Clauses	
107A	Present	Passive Constructions	Saltarelli et al. 1988: 218	Simple Clauses	
108A	Oblique patient	Antipassive Constructions	Mejias-Bikandi 1999	Simple Clauses	
108B	partially productive	Productivity of the Antipassive Construction	Mejias-Bikandi 1999	Simple Clauses	
109A	No applicative construction	Applicative Constructions	Saltarelli et al. 1988	Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
110A	Purposive but no sequential	Periphrastic Causative Constructions	Saltarelli et al. 1988: 220-222	Simple Clauses	
111A	Morphological but no compound	Nonperiphrastic Causative Constructions	Saltarelli et al. 1988: 220-222	Simple Clauses	
112A	Negative particle	Negative Morphemes	Lafitte 1962: passim	Simple Clauses	
113A	Asymmetric	Symmetric and Asymmetric Standard Negation	Saltarelli et al. 1988: 66-67, 92-93	Simple Clauses	
114A	A/Cat	Subtypes of Asymmetric Standard Negation	Saltarelli et al. 1988: 66-67, 92-93	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Saltarelli et al. 1988: 93	Simple Clauses	
116A	Question particle	Polar Questions	Saltarelli et al. 1988: 3	Simple Clauses	
117A	'Have'	Predicative Possession	Lafitte 1944	Simple Clauses	
118A	Nonverbal encoding	Predicative Adjectives	Lafitte 1944	Simple Clauses	
119A	Different	Nominal and Locational Predication	Lafitte 1944	Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals	Lafitte 1944	Simple Clauses	
121A	Particle	Comparative Constructions	Lafitte 1944	Simple Clauses	
122A	Gap	Relativization on Subjects	Saltarelli et al. 1988	Complex Sentences	
123A	Not possible	Relativization on Obliques	Saltarelli et al. 1988	Complex Sentences	
125A	Deranked	Purpose Clauses	Saltarelli et al. 1988: 46	Complex Sentences	
126A	Balanced/deranked	'When' Clauses	Saltarelli et al. 1988: 43-7, 53-60	Complex Sentences	
127A	Balanced/deranked	Reason Clauses	Saltarelli et al. 1988: 53-60	Complex Sentences	
128A	Balanced	Utterance Complement Clauses	Saltarelli et al. 1988: 2, 43-50	Complex Sentences	
129A	Different	Hand and Arm	Aulestia and White 1992 	Lexicon	
130A	Different	Finger and Hand	Aulestia and White 1992 	Lexicon	
131A	Hybrid vigesimal-decimal	Numeral Bases		Lexicon	
136A	No M-T pronouns	M-T Pronouns	King 1993b 	Lexicon	
136B	No m in first person singular	M in First Person Singular	King 1993b 	Lexicon	
137A	No N-M pronouns	N-M Pronouns	King 1993b 	Lexicon	
137B	No m in second person singular	M in Second Person Singular	King 1993b 	Lexicon	
138A	Words derived from Sinitic cha	Tea	Malherbe and Rosenberg 1996: 605	Lexicon	
143A	NegV	Order of Negative Morpheme and Verb	Lafitte 1962: 48-49	Word Order	
143E	NegV	Preverbal Negative Morphemes	Lafitte 1962: 48-49	Word Order	
143F	None	Postverbal Negative Morphemes	Lafitte 1962: 48-49	Word Order	
143G	None	Minor morphological means of signaling negation	Lafitte 1962: 48-49	Word Order	
144A	SONegV	Position of Negative Word With Respect to Subject, Object, and Verb	Lafitte 1962: 48-49	Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Lafitte 1962: 48-49	Word Order	
144L	SONegV	The Position of Negative Morphemes in SOV Languages	Lafitte 1962: 48-49	Word Order	
144P	No NegSOV	NegSOV Order	Lafitte 1962: 48-49	Word Order	
144Q	No SNegOV	SNegOV Order	Lafitte 1962: 48-49	Word Order	
144R	Word&NoDoubleNeg	SONegV Order	Lafitte 1962: 48-49	Word Order	
144S	NoSOVNeg	SOVNeg Order	Lafitte 1962: 48-49	Word Order
