Fid	Value	Feature	Reference	Area
76A	Overlap for both possibility and necessity	Overlap between Situational and Epistemic Modal Marking	L'Huillier 1999: 275-281 	Verbal Categories	
77A	Indirect only	Semantic Distinctions of Evidentiality		Verbal Categories	
78A	Modal morpheme	Coding of Evidentiality		Verbal Categories	
79A	Tense and aspect	Suppletion According to Tense and Aspect		Verbal Categories	
79B	None (= no suppletive imperatives reported in the reference material)	Suppletion in Imperatives and Hortatives		Verbal Categories	
80A	None	Verbal Number and Suppletion		Verbal Categories	
81A	SVO	Order of Subject, Object and Verb		Word Order	
82A	SV	Order of Subject and Verb		Word Order	
83A	VO	Order of Object and Verb		Word Order	
84A	VOX	Order of Object, Oblique, and Verb		Word Order	
85A	Prepositions	Order of Adposition and Noun Phrase		Word Order	
86A	Noun-Genitive	Order of Genitive and Noun		Word Order	
87A	Noun-Adjective	Order of Adjective and Noun	Harris 1988: 227	Word Order	
88A	Demonstrative-Noun	Order of Demonstrative and Noun		Word Order	
89A	Numeral-Noun	Order of Numeral and Noun		Word Order	
90A	Noun-Relative clause	Order of Relative Clause and Noun		Word Order	
90C	Noun-Relative clause (NRel) dominant	Postnominal relative clauses		Word Order	
91A	Degree word-Adjective	Order of Degree Word and Adjective		Word Order	
92A	Initial	Position of Polar Question Particles	Harris 1988: 237	Word Order	
93A	Initial interrogative phrase	Position of Interrogative Phrases in Content Questions		Word Order	
94A	Initial subordinator word	Order of Adverbial Subordinator and Clause		Word Order	
95A	VO and Prepositions	Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		Word Order	
96A	VO and NRel	Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun		Word Order	
97A	VO and NAdj	Relationship between the Order of Object and Verb and the Order of Adjective and Noun		Word Order	
98A	Neutral	Alignment of Case Marking of Full Noun Phrases		Simple Clauses	
99A	Nominative - accusative (standard)	Alignment of Case Marking of Pronouns		Simple Clauses	
100A	Accusative	Alignment of Verbal Person Marking	Harris 1988: 223-4	Simple Clauses	
101A	Obligatory pronouns in subject position	Expression of Pronominal Subjects		Simple Clauses	
102A	Only the A argument	Verbal Person Marking	Harris 1988: 223-4	Simple Clauses	
103A	No zero realization	Third Person Zero of Verbal Person Marking	Harris 1988: 223-4	Simple Clauses	
104A	A and P do not or do not both occur on the verb	Order of Person Markers on the Verb	Harris 1988: 223-4	Simple Clauses	
105A	Indirect-object construction	Ditransitive Constructions: The Verb 'Give'		Simple Clauses	
106A	Mixed	Reciprocal Constructions	Guentchéva and Riviere 2007	Simple Clauses	
107A	Present	Passive Constructions	Harris 1988: 232	Simple Clauses	
108A	No antipassive	Antipassive Constructions		Simple Clauses	
108B	no antipassive	Productivity of the Antipassive Construction		Simple Clauses	
109A	No applicative construction	Applicative Constructions		Simple Clauses	
109B	No applicative construction	Other Roles of Applied Objects		Simple Clauses	
111A	Both	Nonperiphrastic Causative Constructions	Judge and Healey 1985: 231	Simple Clauses	
112A	Negative particle	Negative Morphemes		Simple Clauses	
113A	Symmetric	Symmetric and Asymmetric Standard Negation		Simple Clauses	
114A	Non-assignable	Subtypes of Asymmetric Standard Negation		Simple Clauses	
115A	Mixed behaviour	Negative Indefinite Pronouns and Predicate Negation	Haspelmath 1997: 261	Simple Clauses	
116A	Question particle	Polar Questions	Harris 1988: 237	Simple Clauses	
118A	Nonverbal encoding	Predicative Adjectives		Simple Clauses	
119A	Identical	Nominal and Locational Predication		Simple Clauses	
120A	Impossible	Zero Copula for Predicate Nominals		Simple Clauses	
121A	Particle	Comparative Constructions		Simple Clauses	
122A	Relative pronoun	Relativization on Subjects		Complex Sentences	
123A	Relative pronoun	Relativization on Obliques		Complex Sentences	
124A	Subject is left implicit	'Want' Complement Subjects		Complex Sentences	
125A	Deranked	Purpose Clauses		Complex Sentences	
126A	Balanced/deranked	'When' Clauses		Complex Sentences	
127A	Balanced/deranked	Reason Clauses		Complex Sentences	
128A	Balanced/deranked	Utterance Complement Clauses		Complex Sentences	
129A	Different	Hand and Arm	Dubois et al. 1955	Lexicon	
130A	Different	Finger and Hand	Dubois et al. 1955	Lexicon	
131A	Decimal	Numeral Bases		Lexicon	
132A	6	Number of Non-Derived Basic Colour Categories		Lexicon	
133A	11	Number of Basic Colour Categories		Lexicon	
134A	Green vs. blue	Green and Blue		Lexicon	
135A	Red vs. yellow	Red and Yellow		Lexicon	
136A	M-T pronouns, paradigmatic	M-T Pronouns		Lexicon	
136B	m in first person singular	M in First Person Singular		Lexicon	
137A	No N-M pronouns	N-M Pronouns		Lexicon	
137B	No m in second person singular	M in Second Person Singular		Lexicon	
138A	Words derived from Min Nan Chinese te	Tea		Lexicon	
143A	OptDoubleNeg	Order of Negative Morpheme and Verb		Word Order	
143C	(Neg)VNeg	Optional Double Negation		Word Order	
143E	NegV	Preverbal Negative Morphemes		Word Order	
143F	VNeg	Postverbal Negative Morphemes		Word Order	
143G	None	Minor morphological means of signaling negation		Word Order	
144A	OptDoubleNeg	Position of Negative Word With Respect to Subject, Object, and Verb		Word Order	
144B	Immed postverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb		Word Order	
144D	OptNeg	The Position of Negative Morphemes in SVO Languages		Word Order	
144G	S(Neg)VNegO	Optional Double Negation in SVO languages		Word Order	
144H	No NegSVO	NegSVO Order		Word Order	
144I	Word&OnlyWithAnotherNeg	SNegVO Order		Word Order	
144J	Word&OptDoubleNeg	SVNegO Order		Word Order	
144K	No SVONeg	SVONeg Order		Word Order
