Fid	Value	Feature	Reference	Area
105A	Mixed	Ditransitive Constructions: The Verb 'Give'	Matthews and Yip 1994: 137 	Simple Clauses	
106A	Distinct from reflexive	Reciprocal Constructions	Matthews and Yip 1994: 87 	Simple Clauses	
112A	Negative particle	Negative Morphemes	Matthews and Yip 1994: 252-254 	Simple Clauses	
113A	Both	Symmetric and Asymmetric Standard Negation	Matthews and Yip 1994: 251-257, 281 	Simple Clauses	
114A	A/Cat	Subtypes of Asymmetric Standard Negation	Matthews and Yip 1994: 251-257, 281 	Simple Clauses	
115A	Predicate negation also present	Negative Indefinite Pronouns and Predicate Negation	Matthews and Yip 1994: 257-9 	Simple Clauses	
116A	Question particle	Polar Questions	Matthews and Yip 1994: 311 	Simple Clauses	
124A	Subject is left implicit	'Want' Complement Subjects	Matthews and Yip 1994: 235ff., 250 	Complex Sentences	
129A	Different	Hand and Arm	Huang 1970	Lexicon	
130A	Different	Finger and Hand	Huang 1970	Lexicon	
138A	Words derived from Sinitic cha	Tea	Malherbe and Rosenberg 1996: 700	Lexicon	
142A	Affective meanings	Para-Linguistic Usages of Clicks		Other	
143A	NegV	Order of Negative Morpheme and Verb	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
143E	NegV	Preverbal Negative Morphemes	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
143F	None	Postverbal Negative Morphemes	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
143G	None	Minor morphological means of signaling negation	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144A	SNegVO	Position of Negative Word With Respect to Subject, Object, and Verb	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144B	Immed preverbal	Position of negative words relative to beginning and end of clause and with respect to adjacency to verb	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144D	SNegVO	The Position of Negative Morphemes in SVO Languages	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144H	No NegSVO	NegSVO Order	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144I	Word&NoDoubleNeg	SNegVO Order	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144J	No SVNegO	SVNegO Order	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order	
144K	No SVONeg	SVONeg Order	Matthews and Yip 1994: 252-254 ; Cheung 1983: 7	Word Order
